id;gdp;gdp_per_capita;gdp_source;gdp_year
284;22.02;0.000052;country_total_population_share;2024
285;19.25;0.000052;country_total_population_share;2024
286;33.40;0.000052;country_total_population_share;2024
287;31.36;0.000052;country_total_population_share;2024
288;23.36;0.000052;country_total_population_share;2024
289;28.28;0.000052;country_total_population_share;2024
290;29.35;0.000052;country_total_population_share;2024
291;21.03;0.000052;country_total_population_share;2024
292;67.66;0.000052;country_total_population_share;2024
293;32.67;0.000052;country_total_population_share;2024
294;29.00;0.000052;country_total_population_share;2024
295;21.48;0.000052;country_total_population_share;2024
296;30.11;0.000052;country_total_population_share;2024
297;31.95;0.000052;country_total_population_share;2024
298;7.74;0.000052;country_total_population_share;2024
299;184.71;0.000052;country_total_population_share;2024
300;235.38;0.000052;country_total_population_share;2024
301;60.72;0.000062;country_total_population_share;2024
302;31.30;0.000062;country_total_population_share;2024
303;51.52;0.000062;country_total_population_share;2024
304;126.70;0.000062;country_total_population_share;2024
305;45.14;0.000062;country_total_population_share;2024
306;97.96;0.000062;country_total_population_share;2024
307;198.04;0.000062;country_total_population_share;2024
308;25.34;0.000062;country_total_population_share;2024
309;162.59;0.000062;country_total_population_share;2024
310;153.99;0.000062;country_total_population_share;2024
311;14.51;0.000062;country_total_population_share;2024
312;18.74;0.000062;country_total_population_share;2024
313;237.38;0.000062;country_total_population_share;2024
314;69.32;0.000062;country_total_population_share;2024
315;65.47;0.000062;country_total_population_share;2024
316;159.28;0.000062;country_total_population_share;2024
317;133.50;0.000062;country_total_population_share;2024
318;98.05;0.000062;country_total_population_share;2024
319;113.89;0.000062;country_total_population_share;2024
320;110.45;0.000062;country_total_population_share;2024
321;51.37;0.000062;country_total_population_share;2024
322;56.55;0.000062;country_total_population_share;2024
323;133.03;0.000062;country_total_population_share;2024
324;72.13;0.000062;country_total_population_share;2024
325;161.17;0.000062;country_total_population_share;2024
326;92.75;0.000062;country_total_population_share;2024
327;101.54;0.000062;country_total_population_share;2024
328;66.10;0.000062;country_total_population_share;2024
329;15.03;0.000062;country_total_population_share;2024
330;17.58;0.000062;country_total_population_share;2024
331;28.49;0.000062;country_total_population_share;2024
332;11.47;0.000062;country_total_population_share;2024
333;26.69;0.000062;country_total_population_share;2024
334;38.60;0.000062;country_total_population_share;2024
335;35.54;0.000062;country_total_population_share;2024
336;103.67;0.000062;country_total_population_share;2024
337;12.57;0.000062;country_total_population_share;2024
338;31.43;0.000062;country_total_population_share;2024
339;12.00;0.000062;country_total_population_share;2024
340;27.10;0.000062;country_total_population_share;2024
341;8.05;0.000062;country_total_population_share;2024
342;15.65;0.000062;country_total_population_share;2024
343;8.25;0.000062;country_total_population_share;2024
344;7.85;0.000062;country_total_population_share;2024
345;10.21;0.000062;country_total_population_share;2024
346;7.21;0.000062;country_total_population_share;2024
347;27.05;0.000062;country_total_population_share;2024
348;99.31;0.000062;country_total_population_share;2024
349;57.47;0.000062;country_total_population_share;2024
350;61.20;0.000062;country_total_population_share;2024
351;75.32;0.000062;country_total_population_share;2024
352;60.19;0.000062;country_total_population_share;2024
353;37.88;0.000062;country_total_population_share;2024
354;75.71;0.000062;country_total_population_share;2024
355;86.10;0.000062;country_total_population_share;2024
356;52.01;0.000062;country_total_population_share;2024
357;62.58;0.000062;country_total_population_share;2024
358;71.97;0.000062;country_total_population_share;2024
359;49.45;0.000062;country_total_population_share;2024
360;84.89;0.000062;country_total_population_share;2024
361;198.58;0.000062;country_total_population_share;2024
362;6.64;0.000011;country_total_population_share;2024
363;7.36;0.000011;country_total_population_share;2024
364;6.07;0.000011;country_total_population_share;2024
365;0.77;0.000011;country_total_population_share;2024
366;3.61;0.000011;country_total_population_share;2024
367;1.69;0.000011;country_total_population_share;2024
368;2.56;0.000011;country_total_population_share;2024
369;11.49;0.000011;country_total_population_share;2024
370;21.87;0.000029;country_total_population_share;2024
371;8.85;0.000029;country_total_population_share;2024
372;49.68;0.000029;country_total_population_share;2024
373;15.55;0.000029;country_total_population_share;2024
374;19.04;0.000029;country_total_population_share;2024
375;14.06;0.000029;country_total_population_share;2024
376;105.52;0.000029;country_total_population_share;2024
